Zip,City,State,Region,District,Country
67423,Beverly,KS,Central,District #21,USA
67425,Brookville,KS,Central,District #21,USA
67427,Bushton,KS,Central,District #21,USA
67428,Canton,KS,Central,District #21,USA
67430,Cawker City,KS,Central,District #21,USA
67431,Chapman,KS,Central,District #30,USA
67432,Clay Center,KS,Central,District #30,USA
67436,Delphos,KS,Central,District #21,USA
67437,Downs,KS,Central,District #21,USA
67438,Durham,KS,Central,District #21,USA
67439,Ellsworth,KS,Central,District #21,USA
67441,Enterprise,KS,Central,District #30,USA
67442,Falun,KS,Central,District #21,USA
67443,Galva,KS,Central,District #21,USA
67444,Geneseo,KS,Central,District #21,USA
67445,Glasco,KS,Central,District #21,USA
67446,Glen Elder,KS,Central,District #21,USA
67447,Green,KS,Central,District #30,USA
67448,Gypsum,KS,Central,District #21,USA
67449,Herington,KS,Central,District #30,USA
67450,Holyrood,KS,Central,District #21,USA
67451,Hope,KS,Central,District #30,USA
67452,Hunter,KS,Central,District #21,USA
67454,Kanopolis,KS,Central,District #21,USA
67455,Lincoln,KS,Central,District #21,USA
67456,Lindsborg,KS,Central,District #21,USA
67457,Little River,KS,Central,District #21,USA
67458,Longford,KS,Central,District #30,USA
67459,Lorraine,KS,Central,District #21,USA
67460,Mcpherson,KS,Central,District #21,USA
67464,Marquette,KS,Central,District #21,USA
67466,Miltonvale,KS,Central,District #21,USA
67467,Minneapolis,KS,Central,District #21,USA
67468,Morganville,KS,Central,District #30,USA
67470,New Cambria,KS,Central,District #21,USA
67473,Osborne,KS,Central,District #21,USA
67474,Portis,KS,Central,District #21,USA
67475,Ramona,KS,Central,District #30,USA
67476,Roxbury,KS,Central,District #21,USA
67478,Simpson,KS,Central,District #21,USA
67480,Solomon,KS,Central,District #21,USA
67481,Sylvan Grove,KS,Central,District #21,USA
67482,Talmage,KS,Central,District #21,USA
67483,Tampa,KS,Central,District #21,USA
67484,Tescott,KS,Central,District #21,USA
67485,Tipton,KS,Central,District #21,USA
67487,Wakefield,KS,Central,District #30,USA
67490,Wilson,KS,Central,District #21,USA
67491,Windom,KS,Central,District #21,USA
67492,Woodbine,KS,Central,District #30,USA
67501,Hutchinson,KS,Central,District #21,USA
67502,Hutchinson,KS,Central,District #21,USA
67504,Hutchinson,KS,Central,District #21,USA
67505,South Hutchinson,KS,Central,District #21,USA
67510,Abbyville,KS,Central,District #21,USA
67511,Albert,KS,Central,District #21,USA
67512,Alden,KS,Central,District #21,USA
67513,Alexander,KS,Central,District #21,USA
67514,Arlington,KS,Central,District #21,USA
67515,Arnold,KS,Central,District #21,USA
67516,Bazine,KS,Central,District #21,USA
67518,Beeler,KS,Central,District #21,USA
67519,Belpre,KS,Central,District #21,USA
67520,Bison,KS,Central,District #21,USA
67521,Brownell,KS,Central,District #21,USA
67522,Buhler,KS,Central,District #21,USA
67523,Burdett,KS,Central,District #21,USA
67524,Chase,KS,Central,District #21,USA
67525,Claflin,KS,Central,District #21,USA
67526,Ellinwood,KS,Central,District #21,USA
67529,Garfield,KS,Central,District #21,USA
67530,Great Bend,KS,Central,District #21,USA
67543,Haven,KS,Central,District #21,USA
67544,Hoisington,KS,Central,District #21,USA
67545,Hudson,KS,Central,District #21,USA
67546,Inman,KS,Central,District #21,USA
67547,Kinsley,KS,Central,District #21,USA
67548,La Crosse,KS,Central,District #21,USA
67550,Larned,KS,Central,District #21,USA
67552,Lewis,KS,Central,District #21,USA
67553,Liebenthal,KS,Central,District #21,USA
67554,Lyons,KS,Central,District #21,USA
67556,Mc Cracken,KS,Central,District #21,USA
67557,Macksville,KS,Central,District #21,USA
67559,Nekoma,KS,Central,District #21,USA
67560,Ness City,KS,Central,District #21,USA
67561,Nickerson,KS,Central,District #21,USA
67563,Offerle,KS,Central,District #21,USA
67564,Olmitz,KS,Central,District #21,USA
67565,Otis,KS,Central,District #21,USA
67566,Partridge,KS,Central,District #21,USA
67567,Pawnee Rock,KS,Central,District #21,USA
67568,Plevna,KS,Central,District #21,USA
67570,Pretty Prairie,KS,Central,District #21,USA
67572,Ransom,KS,Central,District #21,USA
67573,Raymond,KS,Central,District #21,USA
67574,Rozel,KS,Central,District #21,USA
67575,Rush Center,KS,Central,District #21,USA
67576,Saint John,KS,Central,District #21,USA
67578,Stafford,KS,Central,District #21,USA
67579,Sterling,KS,Central,District #21,USA
67581,Sylvia,KS,Central,District #21,USA
67583,Turon,KS,Central,District #21,USA
67584,Utica,KS,Central,District #21,USA
67585,Yoder,KS,Central,District #21,USA
67601,Hays,KS,Central,District #21,USA
67621,Agra,KS,Central,District #21,USA
67622,Almena,KS,Central,District #21,USA
67623,Alton,KS,Central,District #21,USA
67625,Bogue,KS,Central,District #21,USA
67626,Bunker Hill,KS,Central,District #21,USA
67627,Catharine,KS,Central,District #21,USA
67628,Cedar,KS,Central,District #21,USA
67629,Clayton,KS,Central,District #21,USA
67631,Collyer,KS,Central,District #21,USA
67632,Damar,KS,Central,District #21,USA
67634,Dorrance,KS,Central,District #21,USA
67635,Dresden,KS,Central,District #21,USA
67637,Ellis,KS,Central,District #21,USA
67638,Gaylord,KS,Central,District #21,USA
67639,Glade,KS,Central,District #21,USA
67640,Gorham,KS,Central,District #21,USA
67642,Hill City,KS,Central,District #21,USA
67643,Jennings,KS,Central,District #21,USA
67644,Kirwin,KS,Central,District #21,USA
67645,Lenora,KS,Central,District #21,USA
67646,Logan,KS,Central,District #21,USA
67647,Long Island,KS,Central,District #21,USA
67648,Lucas,KS,Central,District #21,USA
67649,Luray,KS,Central,District #21,USA
67650,Morland,KS,Central,District #21,USA
67651,Natoma,KS,Central,District #21,USA
67653,Norcatur,KS,Central,District #21,USA
67654,Norton,KS,Central,District #21,USA
67656,Ogallah,KS,Central,District #21,USA
67657,Palco,KS,Central,District #21,USA
67658,Paradise,KS,Central,District #21,USA
67659,Penokee,KS,Central,District #21,USA
67660,Pfeifer,KS,Central,District #21,USA
67661,Phillipsburg,KS,Central,District #21,USA
67663,Plainville,KS,Central,District #21,USA
67664,Prairie View,KS,Central,District #21,USA
67665,Russell,KS,Central,District #21,USA
67667,Schoenchen,KS,Central,District #21,USA
67669,Stockton,KS,Central,District #21,USA
67671,Victoria,KS,Central,District #21,USA
67672,Wakeeney,KS,Central,District #21,USA
67673,Waldo,KS,Central,District #21,USA
67674,Walker,KS,Central,District #21,USA
67675,Woodston,KS,Central,District #21,USA
67701,Colby,KS,Central,District #21,USA
67730,Atwood,KS,Central,District #30,USA
67731,Bird City,KS,Central,District #30,USA
67732,Brewster,KS,Central,District #21,USA
67733,Edson,KS,Central,District #21,USA
67734,Gem,KS,Central,District #21,USA
67735,Goodland,KS,Central,District #21,USA
67736,Gove,KS,Central,District #21,USA
67737,Grainfield,KS,Central,District #21,USA
67738,Grinnell,KS,Central,District #21,USA
67739,Herndon,KS,Central,District #30,USA
67740,Hoxie,KS,Central,District #21,USA
67741,Kanorado,KS,Central,District #21,USA
67743,Levant,KS,Central,District #21,USA
67744,Ludell,KS,Central,District #30,USA
67745,Mc Donald,KS,Central,District #30,USA
67747,Monument,KS,Central,District #21,USA
67748,Oakley,KS,Central,District #21,USA
67749,Oberlin,KS,Central,District #30,USA
67751,Park,KS,Central,District #21,USA
67752,Quinter,KS,Central,District #21,USA
67753,Rexford,KS,Central,District #21,USA
67756,Saint Francis,KS,Central,District #30,USA
67757,Selden,KS,Central,District #21,USA
67758,Sharon Springs,KS,Central,District #21,USA
67761,Wallace,KS,Central,District #21,USA
67762,Weskan,KS,Central,District #20,USA
67764,Winona,KS,Central,District #21,USA
67801,Dodge City,KS,Central,District #21,USA
67831,Ashland,KS,Central,District #21,USA
67834,Bucklin,KS,Central,District #21,USA
67835,Cimarron,KS,Central,District #21,USA
67836,Coolidge,KS,Central,District #21,USA
67837,Copeland,KS,Central,District #21,USA
67838,Deerfield,KS,Central,District #21,USA
67839,Dighton,KS,Central,District #21,USA
67840,Englewood,KS,Central,District #21,USA
67841,Ensign,KS,Central,District #21,USA
67842,Ford,KS,Central,District #21,USA
67843,Fort Dodge,KS,Central,District #21,USA
67844,Fowler,KS,Central,District #21,USA
67846,Garden City,KS,Central,District #21,USA
67849,Hanston,KS,Central,District #21,USA
67850,Healy,KS,Central,District #21,USA
67851,Holcomb,KS,Central,District #21,USA
67853,Ingalls,KS,Central,District #21,USA
67854,Jetmore,KS,Central,District #21,USA
67855,Johnson,KS,Central,District #21,USA
67857,Kendall,KS,Central,District #21,USA
67859,Kismet,KS,Central,District #21,USA
67860,Lakin,KS,Central,District #21,USA
67861,Leoti,KS,Central,District #21,USA
67862,Manter,KS,Central,District #21,USA
67863,Marienthal,KS,Central,District #21,USA
67864,Meade,KS,Central,District #21,USA
67865,Minneola,KS,Central,District #21,USA
67867,Montezuma,KS,Central,District #21,USA
67868,Pierceville,KS,Central,District #21,USA
67869,Plains,KS,Central,District #21,USA
67870,Satanta,KS,Central,District #21,USA
67871,Scott City,KS,Central,District #21,USA
67876,Spearville,KS,Central,District #21,USA
67877,Sublette,KS,Central,District #21,USA
67878,Syracuse,KS,Central,District #21,USA
67879,Tribune,KS,Central,District #21,USA
67880,Ulysses,KS,Central,District #21,USA
67882,Wright,KS,Central,District #21,USA
67901,Liberal,KS,Central,District #21,USA
67905,Liberal,KS,Central,District #21,USA
67950,Elkhart,KS,Central,District #21,USA
67951,Hugoton,KS,Central,District #21,USA
67952,Moscow,KS,Central,District #21,USA
67953,Richfield,KS,Central,District #21,USA
67954,Rolla,KS,Central,District #21,USA
68001,Abie,NE,Central,District #30,USA
68002,Arlington,NE,Central,District #30,USA
68003,Ashland,NE,Central,District #30,USA
68004,Bancroft,NE,Central,District #32,USA
68005,Bellevue,NE,Central,District #30,USA
68007,Bennington,NE,Central,District #30,USA
68008,Blair,NE,Central,District #30,USA
68009,Blair,NE,Central,District #30,USA
68010,Boys Town,NE,Central,District #30,USA
68014,Bruno,NE,Central,District #30,USA
68015,Cedar Bluffs,NE,Central,District #30,USA
68016,Cedar Creek,NE,Central,District #30,USA
68017,Ceresco,NE,Central,District #30,USA
68018,Colon,NE,Central,District #30,USA
68019,Craig,NE,Central,District #30,USA
68020,Decatur,NE,Central,District #32,USA
68022,Elkhorn,NE,Central,District #30,USA
68023,Fort Calhoun,NE,Central,District #30,USA
68025,Fremont,NE,Central,District #30,USA
68026,Fremont,NE,Central,District #30,USA
68028,Gretna,NE,Central,District #30,USA
68029,Herman,NE,Central,District #30,USA
68030,Homer,NE,Central,District #32,USA
68031,Hooper,NE,Central,District #30,USA
68033,Ithaca,NE,Central,District #30,USA
68034,Kennard,NE,Central,District #30,USA
68036,Linwood,NE,Central,District #30,USA
68037,Louisville,NE,Central,District #30,USA
68038,Lyons,NE,Central,District #32,USA
68039,Macy,NE,Central,District #32,USA
68040,Malmo,NE,Central,District #30,USA
68041,Mead,NE,Central,District #30,USA
68042,Memphis,NE,Central,District #30,USA
68044,Nickerson,NE,Central,District #30,USA
68045,Oakland,NE,Central,District #32,USA
68046,Papillion,NE,Central,District #30,USA
68047,Pender,NE,Central,District #32,USA
68048,Plattsmouth,NE,Central,District #30,USA
68050,Prague,NE,Central,District #30,USA
68055,Rosalie,NE,Central,District #32,USA
68056,St Columbans,NE,Central,District #30,USA
68057,Scribner,NE,Central,District #30,USA
68058,South Bend,NE,Central,District #30,USA
68059,Springfield,NE,Central,District #30,USA
68061,Tekamah,NE,Central,District #30,USA
68062,Thurston,NE,Central,District #32,USA
68063,Uehling,NE,Central,District #30,USA
68064,Valley,NE,Central,District #30,USA
68065,Valparaiso,NE,Central,District #30,USA
68066,Wahoo,NE,Central,District #30,USA
68067,Walthill,NE,Central,District #32,USA
68068,Washington,NE,Central,District #30,USA
68069,Waterloo,NE,Central,District #30,USA
68070,Weston,NE,Central,District #30,USA
68071,Winnebago,NE,Central,District #32,USA
68072,Winslow,NE,Central,District #30,USA
68073,Yutan,NE,Central,District #30,USA
68101,Omaha,NE,Central,District #30,USA
68102,Omaha,NE,Central,District #30,USA
68103,Omaha,NE,Central,District #30,USA
68104,Omaha,NE,Central,District #30,USA
68105,Omaha,NE,Central,District #30,USA
68106,Omaha,NE,Central,District #30,USA
68107,Omaha,NE,Central,District #30,USA
68108,Omaha,NE,Central,District #30,USA
68109,Omaha,NE,Central,District #30,USA
68110,Omaha,NE,Central,District #30,USA
68111,Omaha,NE,Central,District #30,USA
68112,Omaha,NE,Central,District #30,USA
68113,Offutt Afb,NE,Central,District #30,USA
68114,Omaha,NE,Central,District #30,USA
68116,Omaha,NE,Central,District #30,USA
68117,Omaha,NE,Central,District #30,USA
68118,Omaha,NE,Central,District #30,USA
68119,Omaha,NE,Central,District #30,USA
68120,Omaha,NE,Central,District #30,USA
68122,Omaha,NE,Central,District #30,USA
68123,Bellevue,NE,Central,District #30,USA
68124,Omaha,NE,Central,District #30,USA
68127,Omaha,NE,Central,District #30,USA
68128,La Vista,NE,Central,District #30,USA
68130,Omaha,NE,Central,District #30,USA
68131,Omaha,NE,Central,District #30,USA
68132,Omaha,NE,Central,District #30,USA
68133,Papillion,NE,Central,District #30,USA
68134,Omaha,NE,Central,District #30,USA
68135,Omaha,NE,Central,District #30,USA
68136,Omaha,NE,Central,District #30,USA
68137,Omaha,NE,Central,District #30,USA
68138,Omaha,NE,Central,District #30,USA
68139,Omaha,NE,Central,District #30,USA
68142,Omaha,NE,Central,District #30,USA
68144,Omaha,NE,Central,District #30,USA
68145,Omaha,NE,Central,District #30,USA
68147,Bellevue,NE,Central,District #30,USA
68152,Omaha,NE,Central,District #30,USA
68154,Omaha,NE,Central,District #30,USA
68155,Omaha,NE,Central,District #30,USA
68157,Omaha,NE,Central,District #30,USA
68164,Omaha,NE,Central,District #30,USA
68172,Omaha,NE,Central,District #30,USA
68175,Omaha,NE,Central,District #30,USA
68176,Omaha,NE,Central,District #30,USA
68178,Omaha,NE,Central,District #30,USA
68179,Omaha,NE,Central,District #30,USA
68180,Omaha,NE,Central,District #30,USA
68182,Omaha,NE,Central,District #30,USA
68183,Omaha,NE,Central,District #30,USA
68197,Omaha,NE,Central,District #30,USA
68198,Omaha,NE,Central,District #30,USA
68301,Adams,NE,Central,District #30,USA
68303,Alexandria,NE,Central,District #30,USA
68304,Alvo,NE,Central,District #30,USA
68305,Auburn,NE,Central,District #30,USA
68307,Avoca,NE,Central,District #30,USA
68309,Barneston,NE,Central,District #30,USA
68310,Beatrice,NE,Central,District #30,USA
68313,Beaver Crossing,NE,Central,District #30,USA
68314,Bee,NE,Central,District #30,USA
68315,Belvidere,NE,Central,District #30,USA
68316,Benedict,NE,Central,District #30,USA
68317,Bennet,NE,Central,District #30,USA
68318,Blue Springs,NE,Central,District #30,USA
68319,Bradshaw,NE,Central,District #30,USA
68320,Brock,NE,Central,District #30,USA
68321,Brownville,NE,Central,District #30,USA
68322,Bruning,NE,Central,District #30,USA
68323,Burchard,NE,Central,District #30,USA
68324,Burr,NE,Central,District #30,USA
68325,Byron,NE,Central,District #21,USA
68326,Carleton,NE,Central,District #30,USA
68327,Chester,NE,Central,District #21,USA
68328,Clatonia,NE,Central,District #30,USA
68329,Cook,NE,Central,District #30,USA
68330,Cordova,NE,Central,District #30,USA
68331,Cortland,NE,Central,District #30,USA
68332,Crab Orchard,NE,Central,District #30,USA
68333,Crete,NE,Central,District #30,USA
68335,Davenport,NE,Central,District #30,USA
68336,Davey,NE,Central,District #30,USA
68337,Dawson,NE,Central,District #30,USA
68338,Daykin,NE,Central,District #30,USA
68339,Denton,NE,Central,District #30,USA
68340,Deshler,NE,Central,District #30,USA
68341,De Witt,NE,Central,District #30,USA
68342,Diller,NE,Central,District #30,USA
68343,Dorchester,NE,Central,District #30,USA
68344,Douglas,NE,Central,District #30,USA
68345,Du Bois,NE,Central,District #30,USA
68346,Dunbar,NE,Central,District #30,USA
68347,Eagle,NE,Central,District #30,USA
68348,Elk Creek,NE,Central,District #30,USA
68349,Elmwood,NE,Central,District #30,USA
68350,Endicott,NE,Central,District #30,USA
68351,Exeter,NE,Central,District #30,USA
68352,Fairbury,NE,Central,District #30,USA
68354,Fairmont,NE,Central,District #30,USA
68355,Falls City,NE,Central,District #30,USA
68357,Filley,NE,Central,District #30,USA
68358,Firth,NE,Central,District #30,USA
68359,Friend,NE,Central,District #30,USA
68360,Garland,NE,Central,District #30,USA
68361,Geneva,NE,Central,District #30,USA
68362,Gilead,NE,Central,District #30,USA
68364,Goehner,NE,Central,District #30,USA
68365,Grafton,NE,Central,District #30,USA
68366,Greenwood,NE,Central,District #30,USA
68367,Gresham,NE,Central,District #30,USA
68368,Hallam,NE,Central,District #30,USA
68370,Hebron,NE,Central,District #30,USA
68371,Henderson,NE,Central,District #30,USA
68372,Hickman,NE,Central,District #30,USA
68375,Hubbell,NE,Central,District #30,USA
68376,Humboldt,NE,Central,District #30,USA
68377,Jansen,NE,Central,District #30,USA
68378,Johnson,NE,Central,District #30,USA
68379,Julian,NE,Central,District #30,USA
68380,Lewiston,NE,Central,District #30,USA
68381,Liberty,NE,Central,District #30,USA
68382,Lorton,NE,Central,District #30,USA
68401,Mc Cool Junction,NE,Central,District #30,USA
68402,Malcolm,NE,Central,District #30,USA
68403,Manley,NE,Central,District #30,USA
68404,Martell,NE,Central,District #30,USA
68405,Milford,NE,Central,District #30,USA
68406,Milligan,NE,Central,District #30,USA
68407,Murdock,NE,Central,District #30,USA
68409,Murray,NE,Central,District #30,USA
68410,Nebraska City,NE,Central,District #30,USA
68413,Nehawka,NE,Central,District #30,USA
68414,Nemaha,NE,Central,District #30,USA
68415,Odell,NE,Central,District #30,USA
68416,Ohiowa,NE,Central,District #30,USA
68417,Otoe,NE,Central,District #30,USA
68418,Palmyra,NE,Central,District #30,USA
68419,Panama,NE,Central,District #30,USA
68420,Pawnee City,NE,Central,District #30,USA
68421,Peru,NE,Central,District #30,USA
68422,Pickrell,NE,Central,District #30,USA
43430,Genoa,OH,East,District #14,USA
43431,Gibsonburg,OH,East,District #14,USA
43432,Graytown,OH,East,District #14,USA
43433,Gypsum,OH,East,District #14,USA
43434,Harbor View,OH,East,District #14,USA
43435,Helena,OH,East,District #14,USA
43436,Isle Saint George,OH,East,District #14,USA
43437,Jerry City,OH,East,District #14,USA
43438,Kelleys Island,OH,East,District #14,USA
43439,Lacarne,OH,East,District #14,USA
43440,Lakeside Marblehead,OH,East,District #14,USA
43441,Lemoyne,OH,East,District #14,USA
43442,Lindsey,OH,East,District #14,USA
43443,Luckey,OH,East,District #14,USA
43445,Martin,OH,East,District #14,USA
43446,Middle Bass,OH,East,District #14,USA
43447,Millbury,OH,East,District #14,USA
43449,Oak Harbor,OH,East,District #14,USA
43450,Pemberville,OH,East,District #14,USA
43451,Portage,OH,East,District #14,USA
43452,Port Clinton,OH,East,District #14,USA
43456,Put in Bay,OH,East,District #14,USA
43457,Risingsun,OH,East,District #14,USA
43458,Rocky Ridge,OH,East,District #14,USA
43460,Rossford,OH,East,District #14,USA
43462,Rudolph,OH,East,District #14,USA
43463,Stony Ridge,OH,East,District #14,USA
43464,Vickery,OH,East,District #14,USA
43465,Walbridge,OH,East,District #14,USA
43466,Wayne,OH,East,District #14,USA
43467,West Millgrove,OH,East,District #14,USA
43468,Williston,OH,East,District #14,USA
43469,Woodville,OH,East,District #14,USA
43501,Alvordton,OH,East,District #14,USA
43502,Archbold,OH,East,District #14,USA
43504,Berkey,OH,East,District #14,USA
43505,Blakeslee,OH,East,District #14,USA
43506,Bryan,OH,East,District #14,USA
43510,Colton,OH,East,District #14,USA
43511,Custar,OH,East,District #16,USA
43512,Defiance,OH,East,District #14,USA
43515,Delta,OH,East,District #14,USA
43516,Deshler,OH,East,District #16,USA
43517,Edgerton,OH,East,District #14,USA
43518,Edon,OH,East,District #14,USA
43519,Evansport,OH,East,District #14,USA
43520,Farmer,OH,East,District #14,USA
43521,Fayette,OH,East,District #14,USA
43522,Grand Rapids,OH,East,District #14,USA
43523,Grelton,OH,East,District #14,USA
43524,Hamler,OH,East,District #14,USA
43525,Haskins,OH,East,District #14,USA
43526,Hicksville,OH,East,District #16,USA
43527,Holgate,OH,East,District #14,USA
43528,Holland,OH,East,District #14,USA
43529,Hoytville,OH,East,District #16,USA
43530,Jewell,OH,East,District #14,USA
43531,Kunkle,OH,East,District #14,USA
43532,Liberty Center,OH,East,District #14,USA
43533,Lyons,OH,East,District #14,USA
43534,Mc Clure,OH,East,District #14,USA
43535,Malinta,OH,East,District #14,USA
43536,Mark Center,OH,East,District #16,USA
43537,Maumee,OH,East,District #14,USA
43540,Metamora,OH,East,District #14,USA
43541,Milton Center,OH,East,District #16,USA
43542,Monclova,OH,East,District #14,USA
43543,Montpelier,OH,East,District #14,USA
43545,Napoleon,OH,East,District #14,USA
43547,Neapolis,OH,East,District #14,USA
43548,New Bavaria,OH,East,District #14,USA
43549,Ney,OH,East,District #14,USA
43550,Okolona,OH,East,District #14,USA
43551,Perrysburg,OH,East,District #14,USA
43552,Perrysburg,OH,East,District #14,USA
43553,Pettisville,OH,East,District #14,USA
43554,Pioneer,OH,East,District #14,USA
43555,Ridgeville Corners,OH,East,District #14,USA
43556,Sherwood,OH,East,District #14,USA
43557,Stryker,OH,East,District #14,USA
43558,Swanton,OH,East,District #14,USA
43560,Sylvania,OH,East,District #14,USA
43565,Tontogany,OH,East,District #14,USA
43566,Waterville,OH,East,District #14,USA
43567,Wauseon,OH,East,District #14,USA
